Page Title,Parent Page,Local Source,Target Area,Source Of Truth,Publish Priority,Status,External URL,Notes
"Portfolio Analysis Home","","analysis/README.md","Root","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/655361/Portfolio+Analysis+Home","Root page for the analysis suite. Created under existing Portfolio Home. Published from source commit ef75d4f."
"Product Analysis","Portfolio Analysis Home","","Product","Confluence container","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/98317/Product+Analysis","Container page for product and business analysis."
"Problem Statement","Product Analysis","analysis/product/problem-statement.md","Product","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1376257/Problem+Statement","Problem, opportunity, goals, and constraints. Published from source commit b1138ea."
"Stakeholders And Personas","Product Analysis","analysis/product/stakeholders-and-personas.md","Product","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1179650/Stakeholders+And+Personas","Stakeholders, personas, and requirement mapping. Published from source commit b1138ea."
"Scope And Requirements","Product Analysis","analysis/product/scope-and-requirements.md","Product","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1343502/Scope+And+Requirements","Functional and non-functional requirements. Published from source commit 4ced0fc."
"Positioning Brief","Product Analysis","analysis/product/positioning-brief.md","Product","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1409025/Positioning+Brief","Service positioning and proof strategy. Published from source commit b1138ea."
"Service Offer Catalog","Product Analysis","analysis/product/service-offer-catalog.md","Product","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1212428/Service+Offer+Catalog","Offer fit, outputs, proof, and pricing stance. Published from source commit 706beee."
"Content Strategy","Product Analysis","analysis/product/content-strategy.md","Product","Local Git source","2","Pending","","Content pillars, templates, and publication workflow."
"Conversion Path Brief","Product Analysis","analysis/product/conversion-path.md","Product","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1441793/Conversion+Path+Brief","Visitor journey, CTA, and intake path. Published from source commit b1138ea."
"Interaction Policy","Product Analysis","analysis/product/interaction-policy.md","Product","Local Git source","2","Pending","","Comment behavior, moderation policy, and trust rules."
"CMS Authoring Workflow","Product Analysis","analysis/product/cms-authoring-workflow.md","Product","Local Git source","2","Pending","","Owner-first authoring, preview, publish, and audit workflow."
"Media Asset Lifecycle","Product Analysis","analysis/product/media-asset-lifecycle.md","Product","Local Git source","2","Pending","","Owner-first media upload, attachment, accessibility, replacement, and cleanup rules."
"Auth And Account Roadmap","Product Analysis","analysis/product/auth-account-roadmap.md","Product","Local Git source","2","Pending","","Reader, owner, client, and protected workflow account strategy."
"Planning","Portfolio Analysis Home","","Planning","Confluence container","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/688129/Planning","Container page for roadmap, validation, and setup planning."
"Roadmap","Planning","analysis/planning/roadmap.md","Planning","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/884745/Roadmap","Stage map and forward delivery framing. Published from source commit ef75d4f."
"Tool Setup Plan","Planning","analysis/planning/tool-setup-plan.md","Planning","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1507329/Tool+Setup+Plan","Confluence, Jira, FigJam, and GitHub setup sequence. Published from source commit 983ab1c."
"External Setup Execution Runbook","Planning","analysis/planning/external-setup-execution-runbook.md","Planning","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1277980/External+Setup+Execution+Runbook","First external setup batches, preflight checks, logs, and exit criteria. Published from source commit 28ce467."
"Risk Register","Planning","analysis/planning/risk-register.md","Planning","Local Git source","2","Pending","","Product, technical, process, and tooling risks."
"Validation Strategy","Planning","analysis/planning/validation-strategy.md","Planning","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1179670/Validation+Strategy","Done checks, verification commands, and validation expectations. Published from source commit ef75d4f."
"Readiness Audit","Planning","analysis/planning/readiness-audit.md","Planning","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1671177/Readiness+Audit","Goal readiness audit and external setup gaps. Published from source commit 28ce467."
"Requirements Traceability Matrix","Planning","analysis/planning/requirements-traceability-matrix.md","Planning","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/786449/Requirements+Traceability+Matrix","FR/NFR to persona, story, evidence, and verification map. Published from source commit 28ce467."
"Release And Review Cadence","Planning","analysis/operations/release-and-review-cadence.md","Operations","Local Git source","2","Pending","","Per-slice, monthly, tool-sync, and launch review cadence."
"Jira Backlog","Portfolio Analysis Home","","Jira","Confluence container","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/720897/Jira+Backlog","Container page for Jira setup and imported planning references. Jira epics KAN-1 through KAN-7 and stories KAN-8 through KAN-55 exist; implemented created stories are Done; current-worktree stories are In Progress; planned created stories remain To Do; Jira story import is complete. Status wording synced from source commit ef75d4f; KAN-38 summary and description synced."
"Backlog Notes","Jira Backlog","analysis/jira/README.md","Jira","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1278003/Backlog+Notes","Backlog package overview and labels. Published from source commit a1ecc22."
"User Stories","Jira Backlog","analysis/jira/user-stories.md","Jira","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1802241/User+Stories","Readable epics, stories, acceptance criteria, and evidence. Published from source commit a1ecc22."
"Jira Project Setup","Jira Backlog","analysis/jira/project-setup.md","Jira","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1540098/Jira+Project+Setup","Project key, issue types, components, workflow, and import order. Published from source commit a1ecc22."
"Import History","Jira Backlog","analysis/jira/import-history.md","Jira","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1835009/Import+History","Local id to Jira key mapping log. Published from source commit a71961a; Jira description maintenance run JIRA-DESC-001 recorded."
"Diagrams","Portfolio Analysis Home","","Design","Confluence container","2","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/163842/Diagrams","Container page for FigJam-ready diagrams and local sources."
"Diagram Inventory","Diagrams","analysis/design/diagram-inventory.md","Design","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1441814/Diagram+Inventory","Diagram ids, source docs, owners, and update triggers. Synced from source commit a71961a; all current diagrams are generated in FigJam."
"FigJam Section Manifest","Diagrams","analysis/design/figjam-section-manifest.csv","Design","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1310736/FigJam+Section+Manifest","FigJam section creation checklist, priorities, status, and URL tracking. Synced from source commit a71961a; all seven current diagram rows are generated."
"Diagram Sources","Diagrams","analysis/design/diagrams/README.md","Design","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1343523/Diagram+Sources","Local Mermaid source index for generated FigJam copies. Synced from source commit a71961a; every current source sketch has a generated FigJam diagram."
"Visitor Discovery Journey","Diagrams","analysis/design/diagrams/pf-diag-001-visitor-discovery-journey.md","Design","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1278025/Visitor+Discovery+Journey","Visitor journey from arrival to action. Published from source commit c130050."
"CMS Content Model","Diagrams","analysis/design/diagrams/pf-diag-002-portfolio-content-model.md","Design","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1441837/CMS+Content+Model","Portfolio CMS entity relationship sketch. Published from source commit c130050."
"Auth And Session Flow","Diagrams","analysis/design/diagrams/pf-diag-003-auth-identifier-session-flow.md","Design","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1933313/Auth+And+Session+Flow","Identifier resolution and session lifecycle flow. Published from source commit c130050."
"Blog Comment Flow","Diagrams","analysis/design/diagrams/pf-diag-004-blog-comment-flow.md","Design","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1474563/Blog+Comment+Flow","Comment submission and rendering flow. Synced from source commit a71961a; FigJam generated from source commit b5249e3."
"Deployment And Neon Branch Workflow","Diagrams","analysis/design/diagrams/pf-diag-005-deployment-neon-branch-workflow.md","Design","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1114129/Deployment+And+Neon+Branch+Workflow","Branch-isolated database workflow. Synced from source commit a71961a; FigJam generated from source commit b5249e3."
"Structural Content Rendering Contract","Diagrams","analysis/design/diagrams/pf-diag-006-structural-content-rendering-contract.md","Design","Local Git source","2","Pending","","Structured content validation and rendering flow."
"Documentation Toolchain","Diagrams","analysis/design/diagrams/pf-diag-007-documentation-toolchain.md","Design","Local Git source","2","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1015817/Documentation+Toolchain","Git, Confluence, Jira, and FigJam coordination. Published from source commit a71961a; FigJam generated from source commit 2ca08e0."
"Technical Reference","Portfolio Analysis Home","","Technical","Confluence container","2","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/557058/Technical+Reference","Container page for GitHub-owned technical references."
"Traceability","Technical Reference","analysis/technical/traceability.md","Technical","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1441860/Traceability","Capability to code, test, schema, and commit map. Published from source commit d7ba04b."
"Schema And Migrations","Technical Reference","analysis/technical/schema-and-migrations.md","Technical","GitHub source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1310758/Schema+And+Migrations","Schema inventory and migration history summary. Published from source commit 736f56f; Git source remains authoritative."
"Schema Table Catalog","Technical Reference","analysis/technical/schema-table-catalog.md","Technical","GitHub source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1212448/Schema+Table+Catalog","Table and enum catalog for current database schema. Published from source commit 736f56f; Git source remains authoritative."
"Migration Catalog","Technical Reference","analysis/technical/migration-catalog.md","Technical","GitHub source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1245186/Migration+Catalog","Per-migration product intent and evidence. Published from source commit 736f56f; Git source remains authoritative."
"API Surface Inventory","Technical Reference","analysis/technical/api-surface-inventory.md","Technical","GitHub source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/786472/API+Surface+Inventory","Route handler and server action contract status inventory. Published from source commit d7ba04b; Git source remains authoritative."
"OpenAPI Planning Notes","Technical Reference","analysis/technical/openapi.md","Technical","GitHub source","2","Pending","","Current API surface and deferred public contract decision."
"Verification Catalog","Technical Reference","analysis/technical/verification-catalog.md","Technical","GitHub source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1966081/Verification+Catalog","CI behavior, commands, focused tests, coverage gaps, and verification evidence rules. Published from source commit d7ba04b; Git source remains authoritative."
"ADR Index","Technical Reference","analysis/technical/adr/README.md","Technical","GitHub source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1179691/ADR+Index","ADR index and decision conventions. Published from source commit d7ba04b; Git ADR files remain authoritative."
"Operations","Portfolio Analysis Home","","Operations","Confluence container","2","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/622594/Operations","Container page for maintenance, publishing, and ongoing review."
"Documentation Maintenance","Operations","analysis/github/documentation-rules.md","Operations","GitHub source","2","Pending","","Source-of-truth, naming, and review rules."
"Artifact Maintenance Matrix","Operations","analysis/operations/artifact-maintenance-matrix.md","Operations","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/1998849/Artifact+Maintenance+Matrix","Artifact ownership, update triggers, validation checks, and external sync rules. Published from source commit bf2900b."
"Confluence Publishing Runbook","Operations","analysis/confluence/publishing-runbook.md","Operations","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/2031617/Confluence+Publishing+Runbook","Publishing metadata, steps, and update triggers. Published from source commit bf2900b; Git runbook remains authoritative."
"Page Manifest","Operations","analysis/confluence/page-manifest.csv","Operations","Local Git source","1","Published","https://thouzands.atlassian.net/wiki/spaces/Portfolio/pages/2064385/Page+Manifest","CSV checklist for page creation, priority, and URLs. Synced from source commit a71961a; Git CSV remains authoritative."
"FigJam Creation Log","Operations","analysis/design/figjam-creation-log.md","Operations","Local Git source","2","Pending","","FigJam file and section URL tracking."
"Decision Log","Operations","analysis/operations/decision-log.md","Operations","Local Git source","2","Pending","","Lightweight product, planning, and tooling decisions."
"Open Questions","Operations","analysis/operations/open-questions.md","Operations","Local Git source","2","Pending","","Unresolved decisions and default positions."
